"species","in_M","in_L","in_D","in_C","n_spaces","category","excl_space"
"2473",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"2041",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"3142",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"5",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"3944",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"682",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"7496",TRUE,TRUE,FALSE,FALSE,2,"shared",NA
"6430",TRUE,TRUE,FALSE,FALSE,2,"shared",NA
"2761",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"3954",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"1697",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"5067",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"1162",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"5072",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"1001",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"2617",TRUE,FALSE,FALSE,FALSE,1,"exclusive","M"
"635",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"1608",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"1051",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"450",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"2802",TRUE,TRUE,FALSE,FALSE,2,"shared",NA
"7228",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"2807",TRUE,TRUE,FALSE,FALSE,2,"shared",NA
"1044",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"4179",TRUE,TRUE,FALSE,FALSE,2,"shared",NA
"698",TRUE,FALSE,FALSE,FALSE,1,"exclusive","M"
"424",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"2939",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"3947",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"5075",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"5069",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"6488",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"2594",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"5670",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"1364",TRUE,FALSE,FALSE,FALSE,1,"exclusive","M"
"7704",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"3515",TRUE,FALSE,FALSE,FALSE,1,"exclusive","M"
"1165",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"7725",TRUE,TRUE,FALSE,FALSE,2,"shared",NA
"5614",TRUE,TRUE,FALSE,FALSE,2,"shared",NA
"439",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"1385",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
